COLLECTION_SYSTEM,collection_sys_description,MasterStationID,MasterStationName,CollectionStationName,COMMENTS,SiteType,ANALOG_CHANNEL,STATION_ID,SYSTEM_NAME,DatasetType,MEASURING_DEVICE,DEVICE_TYPE,STATUS,LAT,LON,DataEntryMethod,Telemetry,StationPage,NoOfYears,StartYr,EndYr,TOTAL_RECORDS,TOTAL_NEGATIVE,TOTAL_ZERO,TOTAL_95th,TOTAL_IQR,TOTAL_RoC,TOTAL_REPEATED,TOTAL_IF,TOTAL_FLAGGED,FLAG_RATIO,ZERO_RATIO
USGS                ,USGS Gage,3480,USGS WEBER RIVER NEAR COALVILLE UTAH                                            ,10130500,"USGS Weber River near Coalville, UT                                                                                                                                                                     ",Stream,1,3480,WEBER RIVER                                                 ,Observational,RATED SECTION                       ,,A,40.8955106,-111.4015109,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3480,28,1990,2025,9024,0,0,452,441,3,956,452,1406,15.58%,0.00%
USGS                ,USGS Gage,3482,USGS WEBER RIVER NEAR PLAIN CITY UTAH                                           ,10141000,"USGS Weber River near Plain City, UT                                                                                                                                                                    ",Stream,1,3482,WEBER RIVER                                                 ,Observational,RATED                               ,,A,41.27807765,-112.0924094,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3482,28,1990,2025,9119,0,3,454,1428,0,98,454,1529,16.77%,0.03%
USGS                ,USGS Gage,3483,USGS WEBER RIVER NEAR WANSHIP UTAH                                              ,10129500,"USGS Weber River near Wanship, UT                                                                                                                                                                       ",Stream,1,3483,WEBER RIVER                                                 ,Observational,RATED SECTION                       ,,A,40.7928502,-111.4049768,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3483,28,1990,2025,9209,0,0,459,405,5,3206,456,3650,39.64%,0.00%
BEAR_UPPER          ,Bear River (UPPER),3590,RANDOLPH SAGE CREEK CANAL                                                       ,12608,Randolph Sage Creek Canal                                                                                                                                                                               ,Conveyance,1,3590,UPPER BEAR                                                  ,Observational,24-foot concrete ramp flume         ,,A,41.61787011,-111.151947,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3590,51,1964,2024,8834,0,947,394,0,1,1238,391,2618,29.64%,10.72%
POTCREEK            ,Pot Creek Dataloggers,3701,POT CREEK FLOW ABOVE MATT WARNER RES                                            ,POT CREEK FLOW ABOVE MATT WARNER RES    ,                                                                                                                                                                                                        ,Stream,1,3701,POT CREEK                                                   ,Observational,Ramp Flume                          ,DIGITAL     ,A,40.76886772,-109.3217889,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3701,23,1965,2025,5554,53,2507,150,323,8,832,145,3700,66.62%,45.14%
USGS                ,USGS Gage,3739,USGS JORDAN RIVER AT 1700 SOUTH                                                 ,10171000,USGS AT 17TH SOUTH                                                                                                                                                                                      ,Stream,1,3739,LOWER JORDAN RIVER                                          ,Observational,                                    ,DIGITAL     ,A,40.73363517,-111.9233209,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3739,27,1991,2025,9222,4,0,454,739,4,3505,455,4140,44.89%,0.00%
USGS                ,USGS Gage,3745,PINE VALLEY (USGS)                                                              ,09408400                                ,USGS Pine Valley Santa Clara River                                                                                                                                                                      ,Stream,1,3745,SANTA CLARA RIVER                                           ,Observational,USGS GAGING STATION:                ,DIGITAL     ,A,37.38136795,-113.4821679,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3745,21,1971,2025,7007,0,24,346,878,4,1515,348,2385,34.04%,0.34%
OGDEN               ,Ogden River Dataloggers,3795,LIBERTY CANAL                                                                   ,Liberty Canal                           ,3.0 ft Parshall flume with float and pulley in stilling well.                                                                                                                                           ,Conveyance,1,3795,OGDEN RIVER                                                 ,Observational,Three-foot Parshall Flume           ,,A,41.36690056,-111.8902122,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3795,37,1951,2025,7978,0,2684,260,99,3,4849,264,7627,95.60%,33.64%
USGS                ,USGS Gage,3828,USGS OGDEN RIVER BL PINEVIEW RES NR HUNTSVILLE UT                               ,10140100,Ogden River Below Pineview                                                                                                                                                                              ,Stream,1,3828,OGDEN RIVER                                                 ,Observational,USGS Station -- rated section       ,,A,41.25447373,-111.8555483,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3828,36,1960,2025,10457,0,117,517,1197,9,2357,516,3598,34.41%,1.12%
SEVIER              ,Sevier River,3829,PIUTE CANAL - WILLOW CREEK                                                      ,3988,Piute Canal at Willow Creek                                                                                                                                                                             ,Conveyance,1,3829,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.69882326,-112.1355934,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3829,50,1915,2025,11044,0,3033,400,6,0,159,400,3839,34.76%,27.46%
EAST_FORK_VIRGIN    ,East Fork Virgin River,3830,MT. CARMEL                                                                      ,15921,Mt Carmel Canal                                                                                                                                                                                         ,Conveyance,1,3830,EAST FORK VIRGIN RIVER                                      ,Observational,4 FT Contracted Rectanglar Weir     ,,A,37.26587558,-112.6480601,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3830,33,1991,2025,6888,0,438,323,776,5,4871,321,5623,81.63%,6.36%
SEVIER              ,Sevier River,3846,SEVIER RIVER BELOW PIUTE RESERVOIR                                              ,4007,Sevier River below Piute Dam                                                                                                                                                                            ,Stream,1,3846,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.32750517,-112.1878751,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3846,45,1980,2025,13093,2,1530,578,130,0,1795,575,3864,29.51%,11.69%
DUCHESNE            ,Duchesne River,3865,400 ROCKY POINT CANAL OVER                                                      ,8400,ROCKY POINT CANAL HEAD                                                                                                                                                                                  ,Conveyance,4,3865,DUCHESNE RIVER                                              ,Observational,6` Parshall Flume                   ,FLOWMETER   ,A,40.22571758,-110.3980044,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3865,25,2001,2025,5550,0,250,264,7,0,86,265,645,11.62%,4.50%
OGDEN               ,Ogden River Dataloggers,3866,MILL CREEK AT BRINKER AVE                                                       ,Mill Creek At Brinker Ave               ,Mill Creek channel after Lynn Irrigation diversion                                                                                                                                                      ,Conveyance,1,3866,OGDEN RIVER                                                 ,Observational,                                    ,,A,41.24158509,-111.9497428,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3866,10,1965,2025,1733,0,333,50,334,0,723,70,1097,63.30%,19.22%
EAST_FORK_VIRGIN    ,East Fork Virgin River,3870,GLENDALE                                                                        ,15926,Glendale Canal                                                                                                                                                                                          ,Conveyance,1,3870,EAST FORK VIRGIN RIVER                                      ,Observational,3` CIPOLETTI WEIR  10% split  BFords,,A,37.34351697,-112.6025171,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3870,32,1991,2025,6542,0,318,294,358,3,4591,307,5038,77.01%,4.86%
DUCHESNE            ,Duchesne River,3889,455 GRAY MOUNTAIN #2                                                            ,8256,GREY MOUNTAIN #2                                                                                                                                                                                        ,Conveyance,3,3889,DUCHESNE RIVER                                              ,Observational,                                    ,FLOWMETER   ,A,40.15196132,-110.160462,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3889,24,1993,2025,4940,0,617,217,2,4,90,201,1029,20.83%,12.49%
USGS                ,USGS Gage,3913,USGS SURPLUS CANAL                                                              ,10170500,21ST SOUTH DAM (SURPLUS CANAL)                                                                                                                                                                          ,Stream,1,3913,LOWER JORDAN RIVER                                          ,Observational,                                    ,DIGITAL     ,A,40.72678218,-111.9265249,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3913,28,1991,2025,9580,0,28,434,1337,2,3017,470,4107,42.87%,0.29%
LBEAR               ,Bear River (Cache),3922,BE07 HOLMGREN & FRED ANDERSON                                                   ,ACCAp                                   ,BE07 - Done; Radio- 207 BEWildlife                                                                                                                                                                      ,Conveyance,1,3922,LOWER BEAR RIVER - BOX ELDER                                ,Observational,Float Sensor                        ,ONOFF       ,A,41.63330582,-112.1218549,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3922,28,1992,2024,4997,0,4474,0,4518,0,391,27,4898,98.02%,89.53%
USGS                ,USGS Gage,3924,US FISH AND WILDLIFE                                                            ,10126000,"BEAR RIVER NEAR CORINNE, UT                                                                                                                                                                             ",Stream,1,3924,LOWER BEAR RIVER - BOX ELDER                                ,Observational,USGS GAGE AT CORINNE                ,DIGITAL     ,A,41.57629254,-112.1003436,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3924,9,2009,2025,2269,0,0,114,155,0,30,114,185,8.15%,0.00%
EMERY               ,Emery County,3958,ELECTRIC LAKE RELEASES                                                          ,9204,Electric Lake Releases                                                                                                                                                                                  ,Reservoir Release,1,3958,HUNTINGTON CREEK                                            ,Observational,PARSHALL FLUME                      ,DIGITAL     ,A,39.59921433,-111.2093325,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=3958,39,1982,2025,12764,0,126,632,835,12,7497,625,8184,64.12%,0.99%
BEAR_UPPER          ,Bear River (UPPER),4016,DAN PEART PUMP                                                                  ,15717,Dan Peart Pump                                                                                                                                                                                          ,Conveyance,1,4016,UPPER BEAR                                                  ,Observational,Strap on Ultrasonic flow Met. (Calib,DIGITAL     ,A,41.78286806,-111.0658275,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4016,32,1992,2024,5244,0,3205,90,0,0,2027,100,5237,99.87%,61.12%
PRICE_DL            ,Price River Dataloggers,4020,COTTONWOOD GOOSEBERRY IRRG. CO.                                                 ,Cottonwood Gooseberry Irrg. Co.         ,Pakbus 1                                                                                                                                                                                                ,Conveyance,1,4020,PRICE RIVER                                                 ,Observational,5` Parshall Flume                   ,DIGITAL     ,A,39.64255843,-111.3187333,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4020,34,1992,2025,8171,0,4134,181,94,20,1287,202,5570,68.17%,50.59%
LBEAR               ,Bear River (Cache),4107,BE20 BARKER (JOEL FERRY)                                                        ,ACCAj                                   ,BE20; Radio- 207 BEWildlife                                                                                                                                                                             ,Conveyance,1,4107,LOWER BEAR RIVER - BOX ELDER                                ,Observational,FLOAT SENSOR                        ,ONOFF       ,A,41.4731809,-112.1766591,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4107,27,1993,2024,4636,0,3413,9,3549,0,1087,61,4584,98.88%,73.62%
USGS                ,USGS Gage,4347,USGS OGDEN RIVER NR GIBSON AVENUE AT OGDEN UT                                   ,10140700,"USGS Ogden River nr Gibson Avenue at Ogden, UT                                                                                                                                                          ",Stream,1,4347,OGDEN RIVER                                                 ,Observational,RATED SECTION                       ,,A,41.23203294,-111.9858392,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4347,32,1991,2025,6459,0,293,309,443,1,697,309,1424,22.05%,4.54%
DUCHESNE            ,Duchesne River,4450,US LAKE FORK                                                                    ,8919,*                                                                                                                                                                                                       ,Conveyance,,4450,LAKE FORK RIVER                                             ,Observational,                                    ,,A,40.43670589,-110.3634345,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4450,20,1995,2025,6056,0,1,297,0,0,1297,303,1701,28.09%,0.02%
DUCHESNE            ,Duchesne River,4453,SANDWASH CREEK                                                                  ,10284,*                                                                                                                                                                                                       ,Stream,,4453,LAKE FORK RIVER                                             ,Observational,                                    ,,A,40.32447217,-110.2393052,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4453,21,1995,2024,4989,101,114,239,591,6,1354,239,1943,38.95%,2.29%
USGS                ,USGS Gage,4477,SEVIER RIVER AT HATCH - USGS                                                    ,10174500,SEVIER RIVER AT HATCH                                                                                                                                                                                   ,Stream,1,4477,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,37.66677979,-112.4187356,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4477,31,1995,2025,10926,0,194,537,1206,7,1084,536,2477,22.67%,1.78%
SEVIER_DL           ,Sevier River Dataloggers,4478,PANGUITCH LAKE OUTLET                                                           ,PANGUITCH LAKE OUTLET                   ,PANGUITCH LAKE OUTLET                                                                                                                                                                                   ,Reservoir Release,1,4478,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,37.72571486,-112.6281506,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4478,31,1992,2024,8941,0,2493,323,235,13,2887,323,5688,63.62%,27.88%
USGS                ,USGS Gage,4481,USGS-EAST FORK SEVIER RIVER NEAR KINGSTON                                       ,10189000,East Fork Sevier River near Kingston                                                                                                                                                                    ,Stream,1,4481,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.19669524,-112.1480809,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4481,31,1995,2025,9834,0,259,472,218,4,1393,476,2151,21.87%,2.63%
SEVIER              ,Sevier River,4483,SHAW WEIR FLOWS                                                                 ,4129,VERMILLION CANAL AT SHAW WEIR                                                                                                                                                                           ,Conveyance,1,4483,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.8864442,-111.9565865,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4483,34,1992,2025,9298,0,4447,239,73,1,443,239,5134,55.22%,47.83%
SEVIER              ,Sevier River,4485,SEVIER RIVER NEAR SIGURD                                                        ,4073,Sevier RIver Near Sigurd                                                                                                                                                                                ,Stream,1,4485,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.87215663,-111.9541064,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4485,33,1951,2025,10633,0,1042,479,1042,2,1075,479,3138,29.51%,9.80%
USGS                ,USGS Gage,4486,SEVIER RIVER BELOW SAN PITCH RIVER                                              ,10217000,"USGS SEVIER RIV BLW SAN PITCH RIV NR GUNNISON, UT                                                                                                                                                       ",Stream,1,4486,SEVIER RIVER                                                ,Observational,Rated Section                       ,DIGITAL     ,A,39.15551005,-111.8778233,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4486,34,1951,2025,11776,0,186,580,902,0,298,569,1379,11.71%,1.58%
USGS                ,USGS Gage,4487,USGS SEVIER RIVER NEAR JUAB                                                     ,10219000,"SEVIER RIVER NEAR JUAB, UT                                                                                                                                                                              ",Stream,1,4487,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,39.37512358,-112.039916,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4487,34,1947,2025,10610,0,333,510,143,1,4498,510,5314,50.08%,3.14%
USGS                ,USGS Gage,4488,SEVIER RIVER NEAR LYNNDYL                                                       ,10224000,"USGS SEVIER RIVER NEAR LYNNDYL, UT                                                                                                                                                                      ",Stream,1,4488,SEVIER RIVER                                                ,Observational,GAGING STATION W/ HANDAR & RECORDER ,DIGITAL     ,A,39.48183822,-112.3938041,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4488,34,1951,2025,11339,0,139,557,205,2,2068,560,2777,24.49%,1.23%
SEVIER              ,Sevier River,4489,DELTA-MELVILLE CANAL A                                                          ,3710,Canal A                                                                                                                                                                                                 ,Conveyance,1,4489,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,39.39293525,-112.4882003,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4489,31,1994,2025,8916,0,2357,328,0,0,608,323,3305,37.07%,26.44%
LBEAR               ,Bear River (Cache),4503,SMITHFIELD PRESSURIZED AT THREE CREEKS                                          ,AJA                                     ,Smithfield Irr off summit creek                                                                                                                                                                         ,Conveyance,1,4503,SUMMIT CREEK                                                ,Observational,submerged orifice                   ,FLOWMETER   ,A,41.84394351,-111.8134642,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4503,30,1995,2024,4073,0,217,80,5,2,2456,193,2797,68.67%,5.33%
USGS                ,USGS Gage,4611,USGS MCLEOD CREEK NEAR PARK CITY UTAH                                           ,10133600,"Mcleod Creek near Park City, UT                                                                                                                                                                         ",Stream,1,4611,WEBER RIVER                                                 ,Observational,                                    ,,A,40.68799748,-111.5337162,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4611,21,1994,2025,5960,0,0,298,776,2,357,297,1135,19.04%,0.00%
EMERY               ,Emery County,4624,ELECTRIC LAKE/RES.CONTENTS                                                      ,6369,UP&L Electric Lake Reservoir Contents                                                                                                                                                                   ,Reservoir,1,4624,HUNTINGTON CREEK                                            ,Observational,                                    ,DIGITAL     ,A,39.60069467,-111.2117793,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4624,26,1982,2023,6686,0,0,335,1,0,471,335,983,14.70%,0.00%
EMERY               ,Emery County,4782,CCCIC - STOCKWATER LINE                                                         ,6583,Peacock Pond Stockwater line                                                                                                                                                                            ,Conveyance,1,4782,COTTONWOOD CREEK                                            ,Observational,Meter                               ,DIGITAL     ,A,39.27482942,-111.1867615,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4782,26,2000,2025,9027,0,1,415,56,3,1383,445,1905,21.10%,0.01%
LITTLE COTTONWOOD CR,Little Cottonwood Creek,4801,SOUTH DESPAIN EXTENSION                                                         ,South Despain Extension                 ,"Ultra Sonic Flow Meter for 18"" PVC Pipe                                                                                                                                                                 ",Conveyance,1,4801,LITTLE COTTONWOOD CREEK                                     ,Observational,Calculation                         ,,A,40.57313733,-111.7897171,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4801,27,1999,2025,3889,0,1005,144,48,13,1397,144,2539,65.29%,25.84%
CU_SCADA            ,CUWCD Scada,4844,0020 CUWCD CHARLESTON                                                           ,SCADA.HCFLOW.F_CV                       ,Charleston - SCADA River Gauge                                                                                                                                                                          ,Stream,1,4844,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.48477938,-111.4631386,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4844,29,1995,2023,9976,0,0,499,1463,95,235,499,1692,16.96%,0.00%
PRWUA               ,Provo River Water Users,4848,0060 PROVO RIVER AQUADUCT                                                       ,S16_FIT_1M                              ,"Data From:www.prwua.org, To:0060 PROVO RES./MURDOCK CANAL                                                                                                                                               ",Conveyance,1,4848,PROVO RIVER                                                 ,Observational,Ultrasonic meter                    ,DIGITAL     ,A,40.32476146,-111.643023,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4848,30,1996,2025,10318,0,4502,291,14,0,800,290,5606,54.33%,43.63%
PRWUA               ,Provo River Water Users,4849,0070 DUCHESNE TUNNEL                                                            ,S04_FIT_2M                              ,"Data From:www.prwua.org, To:0070 DUCHESNE TUNNEL                                                                                                                                                        ",Conveyance,1,4849,PROVO RIVER                                                 ,Observational,15 Foot Parshall Flume              ,DIGITAL     ,A,40.59338195,-110.9996216,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4849,31,1995,2025,10185,0,521,484,1608,9,996,482,3128,30.71%,5.12%
CU_SCADA            ,CUWCD Scada,4852,0110 HARBOR DRIVE                                                               ,OREM\HD\ANALOG\FLOW                     ,Harbor Drive - SCADA River Gauge                                                                                                                                                                        ,Stream,1,4852,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.23912918,-111.711226,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4852,28,1996,2025,9428,0,43,470,799,1,14,470,868,9.21%,0.46%
CU_SCADA            ,CUWCD Scada,4853,0459 SIXTH WATER RELEASE                                                        ,SXFLOW_PUB                              ,"Sixth Water Tunnel, Created by LSR 2022                                                                                                                                                                 ",Conveyance,1,4853,SPANISH FORK RIVER                                          ,Observational,Scraped from data provided by CUWCD ,DIGITAL     ,A,40.11733496,-111.3143217,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4853,26,1998,2025,7121,0,945,295,10,9,1770,294,3014,42.33%,13.27%
CU_SCADA            ,CUWCD Scada,4854,0130 JORDANELLE RELEASE                                                         ,JD_CALC_STREAM_RELEASE_FCV              ,Jordanelle - Total Stream Release                                                                                                                                                                       ,Reservoir Release,1,4854,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.59662524,-111.4236689,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4854,26,1995,2025,7554,1,0,378,788,0,1786,366,2542,33.65%,0.00%
CU_SCADA            ,CUWCD Scada,4857,0170 JORDANELLE CONTENT                                                         ,JD_CALC_RES_CONTENT                     ,Jordanelle Reservoir Content - Acre-Feet                                                                                                                                                                ,Reservoir,1,4857,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.59956899,-111.4212189,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4857,30,1995,2025,10048,0,2,503,285,2,375,503,1207,12.01%,0.02%
CU_SCADA            ,CUWCD Scada,4858,0180 TRIAL ELEVATION                                                            ,TLRESELV_HIST                           ,Trial Lake Elevation                                                                                                                                                                                    ,Reservoir,1,4858,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.68042301,-110.9566031,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4858,20,1997,2024,6281,0,0,314,260,0,470,314,785,12.50%,0.00%
CU_SCADA            ,CUWCD Scada,4859,0190 TRIAL CONTENT                                                              ,TL_CALC_RES_CONTENT                     ,Trial Lake Reservoir Content                                                                                                                                                                            ,Reservoir,1,4859,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.6804568,-110.9565678,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4859,29,1997,2025,9851,0,0,493,7,14,567,493,1371,13.92%,0.00%
CU_SCADA            ,CUWCD Scada,4861,0220 TRIAL RELEASE                                                              ,TLFLOW_HIST                             ,Trial Lake Releases                                                                                                                                                                                     ,Reservoir Release,1,4861,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.67923255,-110.9574361,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4861,27,1997,2024,8861,0,969,379,606,16,2656,379,4219,47.61%,10.94%
CU_SCADA            ,CUWCD Scada,4862,0240 LOST ELEVATION                                                             ,LLRESELV_HIST                           ,Lost Lake Elevation                                                                                                                                                                                     ,Reservoir,1,4862,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.6745875,-110.9400106,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4862,21,1997,2024,6716,0,0,330,23,0,575,336,1105,16.45%,0.00%
CU_SCADA            ,CUWCD Scada,4863,0250 LOST CONTENT                                                               ,LL_CALC_RES_CONTENT                     ,Lost Lake Reservoir Content (AF)                                                                                                                                                                        ,Reservoir,1,4863,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.67459741,-110.9399794,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4863,29,1997,2025,9807,0,0,487,15,22,1338,170,1568,15.99%,0.00%
CU_SCADA            ,CUWCD Scada,4865,0280 LOST RELEASE                                                               ,LLFLOW_HIST                             ,Lost Lake Release                                                                                                                                                                                       ,Reservoir Release,1,4865,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.67394249,-110.9421631,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4865,26,1997,2024,8546,0,1610,347,844,13,3602,347,6049,70.78%,18.84%
CU_SCADA            ,CUWCD Scada,4866,0300 WASHINGTON ELEVATION                                                       ,OREM\WL\ANALOG\RES_LVL                  ,Washington Lake Reservoir Elevation                                                                                                                                                                     ,Reservoir,1,4866,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.67671332,-110.9667898,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4866,20,1997,2025,5226,0,13,261,283,0,509,261,882,16.88%,0.25%
CU_SCADA            ,CUWCD Scada,4867,0310 WASHINGTON CONTENT                                                         ,WL_CALC_RES_CONTENT                     ,Washington Lake Reservoir Content                                                                                                                                                                       ,Reservoir,1,4867,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.6767095,-110.9668384,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4867,29,1997,2025,9868,0,0,484,318,14,892,493,1719,17.42%,0.00%
CU_SCADA            ,CUWCD Scada,4869,0340 WASHINGTON RELEASE                                                         ,OREM\WL\ANALOG\FLOW                     ,Washington Lake Release                                                                                                                                                                                 ,Reservoir Release,1,4869,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.67621668,-110.9635092,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4869,27,1997,2025,8792,0,2172,331,588,36,3086,331,5815,66.14%,24.70%
CU_SCADA            ,CUWCD Scada,4875,0410 DEER CREEK RES ELEVATION                                                   , OREM\DC\ANALOG\RES_LVL                 ,Deer Creek Reservoir Elevation                                                                                                                                                                          ,Reservoir,1,4875,PROVO RIVER                                                 ,Observational,                                    ,DIGITAL     ,A,40.40729054,-111.5266291,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=4875,29,1997,2025,9995,0,0,500,1530,9,220,500,1712,17.13%,0.00%
