COLLECTION_SYSTEM,collection_sys_description,MasterStationID,MasterStationName,CollectionStationName,COMMENTS,SiteType,ANALOG_CHANNEL,STATION_ID,SYSTEM_NAME,DatasetType,MEASURING_DEVICE,DEVICE_TYPE,STATUS,LAT,LON,DataEntryMethod,Telemetry,StationPage,NoOfYears,StartYr,EndYr,TOTAL_RECORDS,TOTAL_NEGATIVE,TOTAL_ZERO,TOTAL_95th,TOTAL_IQR,TOTAL_RoC,TOTAL_REPEATED,TOTAL_IF,TOTAL_RSD,TOTAL_FLAGGED,FLAG_RATIO,ZERO_RATIO,REPEATED_RATIO
LBEAR               ,Bear River (Cache),1745,44CR  DAVID DORIUS                                                              ,AAL                                     ,44 - Radio - 206 Gravel Pit                                                                                                                                                                             ,Conveyance,2.0,1745,LOWER BEAR RIVER                                            ,Observational,Ultrasonic Flow Sensor              ,FLOWMETER   ,A,41.97224382,-111.9306645,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1745,37,1989.0,2025.0,6350,0,4285,97,0,5,764,103,0,5147,81.06%,67.48%,14.84%
LBEAR               ,Bear River (Cache),1748,47  RICH (SOUTH PUMP)                                                           ,AAk                                     ,"47 -, Radio - 206 Gravel Pit                                                                                                                                                                            ",Conveyance,1.0,1748,LOWER BEAR RIVER                                            ,Observational,Dynasonic Flow Sensor               ,FLOWMETER   ,A,41.88894479,-111.8695434,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1748,37,1989.0,2025.0,6356,0,3946,45,2,2,1313,121,0,5383,84.69%,62.08%,24.39%
LBEAR               ,Bear River (Cache),1749,50  BOB MUNK                                                                    ,AAG                                     ,50 -;  Radio 206 Gravel                                                                                                                                                                                 ,Conveyance,1.0,1749,LOWER BEAR RIVER                                            ,Observational,Ultrasonic Flow Sensor              ,FLOWMETER   ,A,41.83068462,-111.9405287,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1749,36,1989.0,2024.0,5606,0,3667,44,1,1,736,97,0,4499,80.25%,65.41%,16.36%
LBEAR               ,Bear River (Cache),1754,54  USU                                                                         ,An                                      ,"54 -, Radio - 202 UP&L                                                                                                                                                                                  ",Conveyance,1.0,1754,LOWER BEAR RIVER                                            ,Observational,Ultrasonic Flow Sensor              ,FLOWMETER   ,A,41.82472133,-111.970594,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1754,37,1989.0,2025.0,6128,0,4390,43,0,1,776,87,0,5262,85.87%,71.64%,14.75%
LBEAR               ,Bear River (Cache),1755,55A TODD BALLARD                                                                ,Ah                                      ,"35, 55A - Radio - 202 UP&L                                                                                                                                                                              ",Conveyance,1.0,1755,LOWER BEAR RIVER                                            ,Observational,Ultrasonic Flow Sensor              ,FLOWMETER   ,A,41.82717701,-111.9610932,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1755,34,1989.0,2024.0,5003,0,4102,32,32,0,362,44,0,4478,89.51%,81.99%,8.08%
LBEAR               ,Bear River (Cache),1768,T09 SKIDMORE                                                                    ,AAa                                     ,"T09 - Done, Radio - 206 Gravel Pit                                                                                                                                                                      ",Conveyance,1.0,1768,LOWER BEAR RIVER                                            ,Observational,Ultrasonic Flow Sensor              ,FLOWMETER   ,A,41.91053098,-111.8753179,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1768,33,1989.0,2025.0,5789,0,4479,6,0,0,506,66,0,5051,87.25%,77.37%,10.02%
LBEAR               ,Bear River (Cache),1770,T09A BRAYDEN & PAM SPACKMAN FARM                                                ,AAP                                     ,"T09A -, Radio - 206 Crow Mt.                                                                                                                                                                            ",Conveyance,1.0,1770,LOWER BEAR RIVER                                            ,Observational,Ultrasonic Flow Sensor              ,FLOWMETER   ,A,41.91923877,-111.8716113,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1770,33,1989.0,2025.0,5388,0,4052,3,0,0,563,67,0,4669,86.66%,75.20%,12.06%
LBEAR               ,Bear River (Cache),1772,T10 SPACKMAN BROTHERS (PREVIOUSLY: W.D.C.I.)                                    ,AAb                                     ,"T10 - Done, Radio - 206 Crow Mt.                                                                                                                                                                        ",Conveyance,1.0,1772,LOWER BEAR RIVER                                            ,Observational,Ultrasonic Flow Sensor              ,FLOWMETER   ,A,41.91060522,-111.8749714,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1772,26,2000.0,2025.0,4858,0,4266,30,1,3,124,30,0,4421,91.00%,87.81%,2.80%
LBEAR               ,Bear River (Cache),1774,T12 CHRIS ALLEN                                                                 ,AAA                                     ,T12 - Radio- 206 Crow Mt                                                                                                                                                                                ,Conveyance,1.0,1774,LOWER BEAR RIVER                                            ,Observational,Ultrasonic Flow Sensor              ,FLOWMETER   ,A,41.99045551,-111.8101022,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1774,23,2001.0,2024.0,4218,0,3752,24,3769,2,164,24,0,3943,93.48%,88.95%,4.16%
LBEAR               ,Bear River (Cache),1775,T13 REED SNYDER                                                                 ,AAJ                                     ,"T13 -, Radio - 206 Gravel PIt                                                                                                                                                                           ",Conveyance,1.0,1775,LOWER BEAR RIVER                                            ,Observational,On/Off Pressure Sensor              ,ONOFF       ,A,41.9910205,-111.8398919,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1775,32,1991.0,2024.0,4921,0,4588,7,0,0,308,17,0,4906,99.70%,93.23%,6.28%
BEAR_UPL            ,Bear River (UPL),1862,00  HAMMOND                                                                     ,East Wheelon Canal (                    ,East Wheelon Canal (CFS)                                                                                                                                                                                ,Conveyance,1.0,1862,LOWER BEAR RIVER                                            ,Observational,                                    ,DIGITAL     ,A,41.83174009,-112.0570754,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1862,39,1957.0,2025.0,10163,0,3449,320,3592,0,2432,323,0,6227,61.27%,33.94%,39.06%
BEAR_UPL            ,Bear River (UPL),1863,00  WESTSIDE                                                                    ,West Wheelon Canal (                    ,West Wheelon Canal (CFS)                                                                                                                                                                                ,Conveyance,1.0,1863,LOWER BEAR RIVER                                            ,Observational,                                    ,DIGITAL     ,A,41.83174153,-112.0570757,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1863,37,1989.0,2025.0,9902,0,2587,364,0,0,922,366,0,4040,40.80%,26.13%,22.82%
USGS                ,USGS Gage,1883,SEVIER RIVER NEAR KINGSTON - USGS                                               ,10183500,Sevier River near Kingston                                                                                                                                                                              ,Stream,1.0,1883,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.20597927,-112.2077579,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1883,88,1938.0,2025.0,30631,0,553,1502,1223,35,4136,1503,30,6210,20.27%,1.81%,66.60%
BEAR_UPL            ,Bear River (UPL),1901,00  COLLINSTON                                                                  ,Bear R. At Collinsto                    ,Bear R. At Collinston (CFS)                                                                                                                                                                             ,Stream,1.0,1901,LOWER BEAR RIVER                                            ,Observational,Stage Recorder                      ,DIGITAL     ,A,41.83410443,-112.0552579,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1901,44,1989.0,2025.0,98080,0,94,652,756,2,90729,676,0,91504,93.30%,0.10%,99.15%
SEVIER              ,Sevier River,1928,ROCKY FORD RESERVOIR NEAR SIGURD                                                ,9101,Rocky Ford Reservoir Content                                                                                                                                                                            ,Reservoir,1.0,1928,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.86828839,-111.9559736,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1928,31,1969.0,2025.0,7580,0,355,357,0,0,1240,362,0,2051,27.06%,4.68%,60.46%
SEVIER              ,Sevier River,1930,OTTER CREEK RESERVOIR                                                           ,3453,Otter Creek Reservoir Content                                                                                                                                                                           ,Reservoir,1.0,1930,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.17327922,-112.0073831,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1930,96,1929.0,2025.0,21172,0,0,1059,0,0,649,1057,0,2024,9.56%,0.00%,32.07%
SEVIER              ,Sevier River,1931,PIUTE RESERVOIR                                                                 ,2482,Piute Reservoir Contents                                                                                                                                                                                ,Reservoir,1.0,1931,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.31914622,-112.1936667,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1931,89,1937.0,2025.0,27584,0,106,1374,1,2,1756,1372,0,3797,13.77%,0.38%,46.25%
SEVIER              ,Sevier River,1932,SEVIER BRIDGE RESERVOIR                                                         ,3443,Sevier Bridge Reservoir Contents                                                                                                                                                                        ,Reservoir,1.0,1932,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,39.37219781,-112.0285963,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=1932,101,1915.0,2025.0,32562,0,96,1593,0,0,2727,1614,0,4562,14.01%,0.29%,59.78%
SEVIER              ,Sevier River,2150,DESERET IRRIGATION CO (ABRAHAM PUMP)                                            ,10925,DESERET IRRIGATION CO (ABRAHAM PUMP)                                                                                                                                                                    ,Conveyance,1.0,2150,SEVIER RIVER                                                ,Observational,3 foot ramp flume                   ,DIGITAL     ,A,39.3515717,-112.633583,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2150,51,1975.0,2025.0,11394,1,6925,223,290,37,597,224,12,7824,68.67%,60.78%,7.63%
SEVIER              ,Sevier River,2172,THREE CREEK RESERVOIR OUTLET                                                    ,13197,Three Creeks Reservoir Outlet                                                                                                                                                                           ,Reservoir Release,1.0,2172,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.62311233,-112.4295497,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2172,48,1939.0,2025.0,9139,0,6346,124,76,11,1066,134,4,7548,82.59%,69.44%,14.12%
USGS                ,USGS Gage,2306,USGS LOST CREEK NEAR CROYDEN UTAH                                               ,10132500,"USGS Lost Creek near Croyden, UT                                                                                                                                                                        ",Stream,1.0,2306,WEBER RIVER                                                 ,Observational,                                    ,,A,41.18065466,-111.4004553,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2306,51,1947.0,2025.0,16588,0,15,828,1027,7,8893,818,53,9774,58.92%,0.09%,90.99%
USGS                ,USGS Gage,2348,USGS EAST CANYON CREEK ABOVE E CANYON RES NEAR MORGAN UTAH                      ,10133980,USGS East Canyon Creek above East Canyon Reservoir near Morgan Utah                                                                                                                                     ,Stream,1.0,2348,WEBER RIVER                                                 ,Observational,                                    ,,A,40.86955443,-111.5864898,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2348,31,1948.0,2025.0,7659,0,472,360,899,34,1017,359,176,2363,30.85%,6.16%,43.04%
USGS                ,USGS Gage,2404,USGS WEBER RIVER AT GATEWAY UTAH                                                ,10136500,Weber River at Gateway                                                                                                                                                                                  ,Stream,1.0,2404,WEBER RIVER                                                 ,Observational,RATED SECTION                       ,,A,41.13732401,-111.8321579,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2404,28,1990.0,2025.0,9110,0,0,450,961,0,100,450,0,1058,11.61%,0.00%,9.45%
OGDEN               ,Ogden River Dataloggers,2473,MILL CREEK AT 1200 WEST                                                         ,Mill Creek At 1200 West                 ,                                                                                                                                                                                                        ,Conveyance,1.0,2473,OGDEN RIVER                                                 ,Observational,4.0 ft Contracted Weir              ,,A,41.25393052,-112.0094311,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2473,18,1951.0,2025.0,3145,0,525,109,1,0,1219,130,0,1905,60.57%,16.69%,63.99%
OGDEN               ,Ogden River Dataloggers,2483,LYNN DITCH                                                                      ,Lynn Ditch                              ,Lynn Irrigation diversion from Mill Creek                                                                                                                                                               ,Conveyance,1.0,2483,OGDEN RIVER                                                 ,Observational,DOUBLE CIPPOLETTI WEIRS             ,,A,41.24162411,-111.9502647,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2483,74,1950.0,2025.0,14600,0,3869,522,17,0,9499,502,0,13637,93.40%,26.50%,69.66%
OGDEN               ,Ogden River Dataloggers,2493,WOLF CREEK IRRIGATION COMPANY                                                   ,Wolf Creek Irr                          ,Wolf Creek Irrigation Company in Eden                                                                                                                                                                   ,Conveyance,1.0,2493,OGDEN RIVER                                                 ,Observational,2-FT CUTTHROAT FLUME                ,,A,41.34445049,-111.8221738,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2493,43,1951.0,2025.0,9174,0,2807,319,215,11,5703,314,0,8590,93.63%,30.60%,66.39%
DUCHESNE            ,Duchesne River,2501,400 ROCKY POINT CANAL HEAD                                                      ,8378,Rocky Point at Head                                                                                                                                                                                     ,Conveyance,4.0,2501,DUCHESNE RIVER                                              ,Observational,                                    ,DIGITAL     ,A,40.22770831,-110.3980331,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2501,26,1996.0,2025.0,5752,0,101,283,1,2,54,282,1,588,10.22%,1.76%,9.18%
OGDEN               ,Ogden River Dataloggers,2506,OGDEN VALLEY CANAL                                                              ,Ogden Valley Canal                      ,OGDEN RIVER OGDEN VALLEY CANAL                                                                                                                                                                          ,Conveyance,1.0,2506,OGDEN RIVER                                                 ,Observational,CONSTANT HEAD ORIFICE               ,,A,41.25899005,-111.6978706,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2506,60,1950.0,2024.0,12153,0,3141,451,295,2,7911,450,0,11127,91.56%,25.85%,71.10%
DUCHESNE            ,Duchesne River,2519,614 LAYOUT CREEK DIVERSION DAM                                                  ,Layout Diversion                        ,LAYOUT DIVERSION                                                                                                                                                                                        ,Conveyance,1.0,2519,DUCHESNE RIVER                                              ,Observational,V-Notch Weir                        ,DIGITAL     ,A,40.29708831,-111.0484794,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2519,26,1999.0,2024.0,9094,0,646,343,79,1,7269,407,0,8034,88.34%,7.10%,90.48%
OGDEN               ,Ogden River Dataloggers,2526,NORTH OGDEN CANAL                                                               ,North Ogden Canal                       ,                                                                                                                                                                                                        ,Conveyance,1.0,2526,OGDEN RIVER                                                 ,Observational,FOUR FOOT PARSHALL FLUME            ,,A,41.23752724,-111.928169,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2526,46,1951.0,2025.0,9594,0,2921,334,165,0,5372,320,0,8575,89.38%,30.45%,62.65%
USBR                ,USBR,2559,USBR CAUSEY RESERVOIR CONTENT                                                   ,CAUSEY|storage                          ,from ftp.usbr.gov/UC_Outgoing_Cron/ nwsdata.dat `CAUSEY`|`storage` at 8:30AM                                                                                                                            ,Reservoir,1.0,2559,OGDEN RIVER                                                 ,Observational,RATED CONTROL GATES                 ,,A,41.29940633,-111.5860663,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2559,43,1965.0,2025.0,12237,0,3158,443,0,0,853,453,0,4721,38.58%,25.81%,18.07%
USGS                ,USGS Gage,2568,USGS WEBER RIVER AT ECHO UTAH                                                   ,10132000,"USGS Weber River at Echo, UT                                                                                                                                                                            ",Stream,1.0,2568,WEBER RIVER                                                 ,Observational,RATED CHANNEL                       ,,A,40.96724338,-111.4378564,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2568,60,1958.0,2025.0,20112,0,5,989,471,2,8589,987,1,9492,47.20%,0.02%,90.49%
BEAVER              ,Beaver,2603,FURNACE DITCH                                                                   ,A5                                      ,Furnace Ditch                                                                                                                                                                                           ,Conveyance,1.0,2603,BEAVER RIVER                                                ,Observational,2`  Parshall Flume                  ,DIGITAL     ,A,38.2518091,-112.7577466,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2603,46,1950.0,2025.0,9667,0,994,275,19,0,5952,434,0,7206,74.54%,10.28%,82.60%
BEAVER              ,Beaver,2604,BARTON DITCH                                                                    ,A2                                      ,Barton ditch                                                                                                                                                                                            ,Conveyance,1.0,2604,BEAVER RIVER                                                ,Observational,1.7`  Parshall Flume                ,DIGITAL     ,A,38.25039166,-112.6969698,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2604,45,1950.0,2025.0,8919,0,920,344,233,0,5769,399,0,6849,76.79%,10.32%,84.23%
BEAVER              ,Beaver,2605,ABERDARE CANAL                                                                  ,A3                                      ,Aberdare Canal                                                                                                                                                                                          ,Conveyance,1.0,2605,BEAVER RIVER                                                ,Observational,3` Parshall Flume                   ,DIGITAL     ,A,38.2483527,-112.7194062,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2605,54,1950.0,2025.0,10595,0,937,413,4,1,6466,461,0,7484,70.64%,8.84%,86.40%
BEAVER              ,Beaver,2619,SOUTH DITCH                                                                     ,A4                                      ,South Ditch                                                                                                                                                                                             ,Conveyance,1.0,2619,BEAVER RIVER                                                ,Observational,12 inch Parshall Flume              ,DIGITAL     ,A,38.25087065,-112.757744,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2619,42,1960.0,2025.0,9127,0,921,386,50,7,5134,409,7,6227,68.23%,10.09%,82.45%
LOGAN_DL            ,Logan River Dataloggers,2631,38 BLACKSMITH FORK                                                              ,38 BLACKSMITH FORK                      ,"Lower Bear; Radio 301,1    Pakbus 6                                                                                                                                                                     ",Conveyance,1.0,2631,LOWER BEAR RIVER                                            ,Observational,6 foot Parshall Flume with recorder ,STAGE       ,A,41.70563595,-111.8715841,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2631,37,1989.0,2025.0,7263,0,756,326,20,0,1117,326,0,2273,31.30%,10.41%,49.14%
CU_SCADA            ,CUWCD Scada,2725,STRAWBERRY RESERVOIR CONTENT                                                    ,SC_CALC_RES_CONTENT                     ,STRAWBERRY RESERVOIR CONTENT (TOTAL INCLUDING DEAD STORAGE)                                                                                                                                             ,Reservoir,1.0,2725,SPANISH FORK RIVER                                          ,Observational,Gage                                ,DIGITAL     ,A,40.13980369,-111.0274167,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2725,66,1949.0,2025.0,18821,0,31,940,156,0,720,940,0,2344,12.45%,0.16%,30.72%
JVWCD               ,JVWCD (scrape),2726,05.01.07 JORDAN VALLEY WATER CONSERVANCY DIST                                   ,JNPS-to-WelbyJacob.csv                  ,                                                                                                                                                                                                        ,Stream,1.0,2726,UTAH LAKE/JORDAN RIVER                                      ,Observational,JVWCD operates the Electronic Meters,,A,40.4417122,-111.9216497,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2726,33,1989.0,2025.0,4079,0,495,179,495,0,981,179,0,1638,40.16%,12.14%,59.89%
SEVIER_METRIDYNE    ,Sevier River (Metridyne),2727,ACTON DITCH (BULLION CREEK)                                                     ,15370,BULLION CREEK - ACTON DITCH                                                                                                                                                                             ,Conveyance,1.0,2727,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.43250147,-112.2651219,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2727,41,1984.0,2024.0,11364,0,7553,183,223,3,1202,161,0,8905,78.36%,66.46%,13.50%
SEVIER              ,Sevier River,2735,KOOSHAREM CANAL                                                                 ,11539,KOOSHAREM CANAL                                                                                                                                                                                         ,Conveyance,1.0,2735,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.56485065,-111.8516694,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2735,41,1985.0,2025.0,10866,0,3949,338,22,0,2217,346,0,6486,59.69%,36.34%,34.18%
SEVIER_METRIDYNE    ,Sevier River (Metridyne),2736,LYON DITCH (BULLION CREEK)                                                      ,15379,LYON DITCH (BULLION CREEK)                                                                                                                                                                              ,Conveyance,1.0,2736,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.43329922,-112.2587557,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2736,42,1984.0,2025.0,10118,0,5435,180,4,5,1793,235,0,7426,73.39%,53.72%,24.14%
SEVIER              ,Sevier River,2737,MERIDIAN DITCH                                                                  ,11536,MERIDIAN DITCH                                                                                                                                                                                          ,Conveyance,1.0,2737,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.56099582,-111.8493681,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2737,43,1983.0,2025.0,12137,0,2399,321,36,1,5018,468,0,7726,63.66%,19.77%,64.95%
SEVIER_DL           ,Sevier River Dataloggers,2739,OTTER CREEK AT DANIELS CANYON                                                   ,OTTER CREEK AT DANIELS CANYON           ,OTTER CREEK AT DANIELS CANYON                                                                                                                                                                           ,Stream,1.0,2739,SEVIER RIVER                                                ,Observational,12 foot Cipoleti Weir               ,DIGITAL     ,A,38.61066897,-111.8095283,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2739,36,1984.0,2025.0,10650,0,1297,422,2236,2,6746,465,0,8830,82.91%,12.18%,76.40%
SEVIER_METRIDYNE    ,Sevier River (Metridyne),2743,TAYLOR DITCH (BULLION CREEK)                                                    ,15365,TAYLOR (BULLION CREEK)                                                                                                                                                                                  ,Conveyance,1.0,2743,SEVIER RIVER                                                ,Observational,2 FT FLUME AND GAGING STATION       ,DIGITAL     ,A,38.42775536,-112.2812138,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2743,41,1984.0,2024.0,10141,0,6920,96,27,5,1103,161,0,8150,80.37%,68.24%,13.53%
SEVIER_METRIDYNE    ,Sevier River (Metridyne),2744,SOUTH BENCH (BULLION CREEK)                                                     ,15206,SOUTH BENCH (BULLION CREEK)                                                                                                                                                                             ,Conveyance,1.0,2744,SEVIER RIVER                                                ,Observational,                                    ,DIGITAL     ,A,38.42952899,-112.2721334,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2744,42,1984.0,2025.0,9254,0,3259,233,62,0,2394,238,0,5770,62.35%,35.22%,41.49%
SEVIER              ,Sevier River,2753,OTTER CREEK RESERVOIR INLET FROM FEEDER CANAL                                   ,10254,Otter Creek Reservoir Inflow                                                                                                                                                                            ,Conveyance,1.0,2753,SEVIER RIVER                                                ,Observational,                                    ,,A,38.16027339,-112.0041319,Scrape,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2753,47,1915.0,2025.0,13208,4,2741,514,717,2,1728,514,0,5160,39.07%,20.75%,33.49%
LITTLEBEAR          ,Little Bear River (Cache),2770,WELLSVILLE EAST FIELD                                                           ,C6                                      ,Wellsville Eastfield                                                                                                                                                                                    ,Conveyance,1.0,2770,LITTLE BEAR RIVER                                           ,Observational,8 FT FLUME with custom rating table ,DIGITAL     ,A,41.62964034,-111.8724356,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2770,64,1957.0,2025.0,9887,0,1622,411,2102,2,2910,407,0,5008,50.65%,16.41%,58.11%
LITTLEBEAR          ,Little Bear River (Cache),2771,HYRUM CANAL                                                                     ,I2                                      ,Hyrum Canal; Radio - 211 Avon                                                                                                                                                                           ,Conveyance,1.0,2771,LITTLE BEAR RIVER                                           ,Observational,4 FT PARSHALL FLUME                 ,DIGITAL     ,A,41.52904471,-111.8146275,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2771,60,1957.0,2024.0,10780,0,1222,476,50,4,1611,477,0,3216,29.83%,11.34%,50.09%
LITTLEBEAR          ,Little Bear River (Cache),2772,LITTLE FEEDER                                                                   ,Cp                                      ,Little Feeder                                                                                                                                                                                           ,Conveyance,1.0,2772,LITTLE BEAR RIVER                                           ,Observational,meter vault with ultrasonic meter   ,FLOWMETER   ,A,41.62964147,-111.8724346,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2772,59,1957.0,2024.0,8823,0,3214,276,47,3,2180,281,0,5605,63.53%,36.43%,38.89%
LITTLEBEAR          ,Little Bear River (Cache),2774,PUMP CANAL                                                                      ,4,Pump Canal                                                                                                                                                                                              ,Conveyance,1.0,2774,LITTLE BEAR RIVER                                           ,Observational,3-Ft Ramp Flume at above  UTMs      ,DIGITAL     ,A,41.62608741,-111.8806588,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2774,47,1957.0,2025.0,6946,0,2169,228,168,55,1652,236,100,3976,57.24%,31.23%,41.55%
LITTLEBEAR          ,Little Bear River (Cache),2775,WELLSVILLE MENDON CANAL                                                         ,C5                                      ,Wellsville Mendon                                                                                                                                                                                       ,Conveyance,1.0,2775,LITTLE BEAR RIVER                                           ,Observational,concrete trapezoidal ramp flume     ,DIGITAL     ,A,41.62855582,-111.8804643,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2775,38,1962.0,2025.0,5821,0,1638,210,23,0,1007,205,0,2838,48.75%,28.14%,35.48%
LITTLEBEAR          ,Little Bear River (Cache),2776,PARADISE CANAL                                                                  ,I1                                      ,Paradise Canal; Radio - 211 Avon                                                                                                                                                                        ,Conveyance,1.0,2776,LITTLE BEAR RIVER                                           ,Observational,4` PARSHALL FLUME                   ,DIGITAL     ,A,41.53226536,-111.8129964,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=2776,63,1957.0,2025.0,10823,0,1840,436,106,0,2445,449,0,4593,42.44%,17.00%,53.23%
